,wikidataID,attractionName,attractionDescription,country,coordinates,type,namedAfter,locatedIn,height
65,http://www.wikidata.org/entity/Q76635990,Heimatmuseum Geversdorf,Museum in Deutschland,Deutschland,,Museum,,,
66,http://www.wikidata.org/entity/Q76635993,Dorfmuseum Ahrbergen,Museum in Ahrbergen bei Hannover,Deutschland,Point(9.877835 52.221233),Museum,,Sarstedt,
67,http://www.wikidata.org/entity/Q76635995,Heimatmuseum Giesen,Museum in Deutschland,Deutschland,Point(9.877835 52.221233),Museum,,,
68,http://www.wikidata.org/entity/Q76635998,Historisches Museum Schloß Gifhorn,Museum in Deutschland,Deutschland,Point(10.547976 52.489366),Museum,,,
69,http://www.wikidata.org/entity/Q76636001,Kavalierhaus Gifhorn - Museum für Wohnkultur,Museum in Deutschland,Deutschland,Point(10.546077 52.487725),Museum,,,
70,http://www.wikidata.org/entity/Q76636004,Heimatstube Gittelde,Museum in Deutschland,Deutschland,Point(10.177156 51.799556),Museum,,,
71,http://www.wikidata.org/entity/Q76636007,Museum für Landtechnik,Museum in Deutschland,Deutschland,,Museum,,,
72,http://www.wikidata.org/entity/Q76636010,Historische Spinnerei Gartetal,"Museum in Deutschland,  ehemalige Streichgarnspinnerei im Gartetal, Landkreis Göttingen",Deutschland,Point(10.018472222 51.492583333),Museum,,Gleichen,
73,http://www.wikidata.org/entity/Q76636013,Historischer Moorhof,Museum in Deutschland,Deutschland,,Museum,,,
74,http://www.wikidata.org/entity/Q76636015,Kartoffelmuseum Brillit,Museum in Deutschland,Deutschland,Point(8.994648888 53.413068055),Museum,,,
75,http://www.wikidata.org/entity/Q76636017,Waldmuseum Göhrde,Museum in Deutschland,Deutschland,Point(10.879496 53.141198),Museum,,,
76,http://www.wikidata.org/entity/Q76636020,Ostdeutsche Heimat- und Trachtenstube Goldenstedt-Ambergen,Museum in Deutschland,Deutschland,,Museum,,,
77,http://www.wikidata.org/entity/Q76636021,Heimatstube des Harzklub-ZV Hahnenklee-Bockswiese mit Paul-Lincke-Ecke,Museum in Deutschland,Deutschland,Point(10.339395 51.860314),Museum,,,
78,http://www.wikidata.org/entity/Q76636024,Huldigungssaal im Rathaus der Stadt Goslar,Museum in Deutschland,Deutschland,,Museum,,,
79,http://www.wikidata.org/entity/Q76636026,Kaiserpfalz mit St. Ulrichkapelle,Museum in Deutschland,Deutschland,Point(10.426724 51.903282),Museum,,Goslar,
80,http://www.wikidata.org/entity/Q76636029,Museum im Zwinger,Museum in Deutschland,Deutschland,Point(10.431411 51.902838),Museum,,Goslar,
81,http://www.wikidata.org/entity/Q76636031,Siemens-Familien-Stammhaus,Museum in Deutschland,Deutschland,Point(10.423575 51.904363),Museum,,Goslar,
82,http://www.wikidata.org/entity/Q76636034,Georg-August-Universität: Alter Botanischer Garten,Museum in Deutschland,Deutschland,Point(9.936466 51.537513),Museum,,,
83,http://www.wikidata.org/entity/Q76636037,Georg-August-Universität: Anthropologische Sammlung,Museum in Deutschland,Deutschland,Point(9.935343 51.528857),Museum,,,
84,http://www.wikidata.org/entity/Q76636038,Georg-August-Universität: Blumenbachsche Schädelsammlung,Museum in Deutschland,Deutschland,Point(9.938812 51.543947),Museum,,,
85,http://www.wikidata.org/entity/Q76636040,Georg-August-Universität: Diplomatischer Apparat,Museum in Deutschland,Deutschland,Point(9.938941 51.542031),Museum,,,
86,http://www.wikidata.org/entity/Q76636041,Georg-August-Universität: Experimenteller Botanischer Garten,Museum in Deutschland,Deutschland,Point(9.955663 51.55537),Museum,,,
87,http://www.wikidata.org/entity/Q76636043,Georg-August-Universität: Forstbotanischer Garten und Arboretum,Museum in Deutschland,Deutschland,Point(9.957726 51.558097),Museum,,,
88,http://www.wikidata.org/entity/Q76636046,Georg-August-Universität: Forstzoologie,Museum in Deutschland,Deutschland,Point(9.956307 51.558737),Museum,,,
89,http://www.wikidata.org/entity/Q76636049,Georg-August-Universität: Göttinger Sammlung mathematischer Modelle und Instrumente,Museum in Deutschland,Deutschland,Point(9.932374 51.528447),Museum,,,
90,http://www.wikidata.org/entity/Q76636052,Georg-August-Universität: Herbarium Göttingen,Museum in Deutschland,Deutschland,Point(9.936487 51.537507),Museum,,,
91,http://www.wikidata.org/entity/Q76636053,Georg-August-Universität: Humanembryologische Sammlung,Museum in Deutschland,Deutschland,Point(9.938844 51.543927),Museum,,,
92,http://www.wikidata.org/entity/Q76636057,Georg-August-Universität: Kunstgesch. Seminar und Kunstsammlung der Universität,Museum in Deutschland,Deutschland,Point(9.93714 51.539097),Museum,,,
93,http://www.wikidata.org/entity/Q76636060,Georg-August-Universität: Münzkabinett der Universität Göttingen,Museum in Deutschland,Deutschland,Point(9.937351 51.53899),Museum,,,
94,http://www.wikidata.org/entity/Q76636062,"Georg-August-Universität: Museum, Sammlungen & Geopark Göttinger Zentrum Geowissenschaften",Museum in Deutschland,Deutschland,Point(9.947503 51.556391),Museum,,,
95,http://www.wikidata.org/entity/Q76636063,Georg-August-Universität: Nutztierforschung,Museum in Deutschland,Deutschland,Point(9.946534 51.546667),Museum,,,
96,http://www.wikidata.org/entity/Q76636067,Georg-August-Universität: Physicalisches Cabinet,Museum in Deutschland,Deutschland,Point(9.937315 51.540745),Museum,,,
97,http://www.wikidata.org/entity/Q76636069,Georg-August-Universität: Sammlung des Archäologischen Instituts der Universität,Museum in Deutschland,Deutschland,Point(9.937361 51.538937),Museum,,,
98,http://www.wikidata.org/entity/Q76634311,Heimatmuseum Usseln,Museum in Deutschland,Deutschland,Point(8.664446 51.283955),Museum,,,
99,http://www.wikidata.org/entity/Q76634314,Schaubergwerk Schiefergrube Christine,Museum in Deutschland,Deutschland,Point(8.612601 51.295269),Museum,,,
100,http://www.wikidata.org/entity/Q76634316,Upländer Milchmuhseum,Museum in Deutschland,Deutschland,Point(8.593379 51.301804),Museum,,,
101,http://www.wikidata.org/entity/Q76634320,Malerstübchen Willingshausen,Museum in Deutschland,Deutschland,Point(9.200755 50.85164),Museum,,,
